source,region,name,rating_raw,review_count_raw,location,price_range,categories,snippet
Yelp,Donegal,Eli & Annie's Bakery,5.0,(4 reviews),Grantsville,,"“It is not much of a modern bakery but thebaked goodsare worth it . $7.50 for 8 donuts.”more, Bakeries, Donuts",“It is not much of a modern bakery but the baked goods are worth it . $7.50 for 8 donuts.” more
Yelp,Donegal,Prantl's Bakery,4.1,(25 reviews),Greensburg,$,"“My wife surprised me with $70 worth ofbaked goodsfrom Prantls. Elephant ears, cinnamon bread...”more, Bakeries, Desserts, Custom Cakes","“My wife surprised me with $70 worth of baked goods from Prantls. Elephant ears, cinnamon bread...” more"
Yelp,Donegal,Kyle’s Cakes N’at,4.9,(19 reviews),Pittsburgh,,"“and assigned dessert for Sunday with friends who bake, I searched forbakeriesin Millvale.”more, Desserts, Bakeries","“and assigned dessert for Sunday with friends who bake, I searched for bakeries in Millvale.” more"
Yelp,Donegal,No Sweeter Name Delights,5.0,(1 review),Friedens,,"“WOW! that's all I can say about this amazing business. We had a family function and ordered quite a variety of cookies and treats and they were the…”more, Bakeries, Cupcakes, Desserts",“WOW! that's all I can say about this amazing business. We had a family function and ordered quite a variety of cookies and treats and they were the…” more
Yelp,Donegal,Small Town Bakery,5.0,(1 review),Fairchance,,"“Thisbakeryhad a variety of options and also made changes for more of my favorite flavors.”more, Bakeries, Desserts, Cupcakes",“This bakery had a variety of options and also made changes for more of my favorite flavors.” more
Yelp,Donegal,Rising Creek Bakery,4.5,(75 reviews),Morgantown,$,"“Morris with famous salt rising bread, fabulous coffee, a bevy ofsweet treatsand delicious lunch...”more, Bakeries","“Morris with famous salt rising bread, fabulous coffee, a bevy of sweet treats and delicious lunch...” more"
Yelp,Donegal,Wavie and Jane's Emporium,4.1,(12 reviews),Connellsville,,"“Helped us select some hot.freshly bakeddesserts, and were really just super nice to everyone in...”more, Delis, Specialty Food","“Helped us select some hot. freshly baked desserts, and were really just super nice to everyone in...” more"
Yelp,Donegal,Four and Twenty Bakery,5.0,(2 reviews),Indiana,,"“This small bakery is a great place to grab a quick breakfast or lunch or asweet treat.”more, Bakeries, Desserts",“This small bakery is a great place to grab a quick breakfast or lunch or a sweet treat .” more
Yelp,Donegal,Stanton Daily Grind,4.2,(21 reviews),New Stanton,,"“They have a greatbaked goodsselection! I tried a choc chip cookie. Plenty of seating in the shop...”more, Coffee & Tea Shops, Breakfast & Brunch, Sandwiches",“They have a great baked goods selection! I tried a choc chip cookie. Plenty of seating in the shop...” more
Yelp,Donegal,Terri's Gourmet Sweet Treats,5.0,(1 review),Latrobe,,"“Today we stumbled upon Terri's GourmetSweet Treatswhile at the Banana Split Festival in Latrobe.”more, Bakeries, Coffee & Tea Shops, Breakfast & Brunch",“Today we stumbled upon Terri's Gourmet Sweet Treats while at the Banana Split Festival in Latrobe.” more
Yelp,Donegal,Market Street Pastries,4.4,(36 reviews),Blairsville,$$,"“We particularly love the banh mi sandwiches and the variety of tastybaked goods!”more, Bakeries, Coffee & Tea Shops, Sandwiches",“We particularly love the banh mi sandwiches and the variety of tasty baked goods !” more
Yelp,Donegal,School House Bakery,4.5,(4 reviews),Latrobe,,"“Absolutely deliciousbaked goodsand friendly service. We thoroughly enjoyed the cinnamon buns...”more, Bakeries, Desserts, Custom Cakes",“Absolutely delicious baked goods and friendly service. We thoroughly enjoyed the cinnamon buns...” more
Yelp,Donegal,Apple Harvest,4.8,(12 reviews),North Versailles,,"“This is a great littlebakeryjust right off of Route 30. I stopped by on a whim and will definitely...”more, Caterers, Bakeries",“This is a great little bakery just right off of Route 30. I stopped by on a whim and will definitely...” more
Yelp,Donegal,Bittersweet Cafe,4.5,(324 reviews),Farmington,$$,"“They offer homemade freshbaked goods, wraps, dog treats, and a lot of great café options.”more, Cafes, Coffee & Tea Shops, Bakeries","“They offer homemade fresh baked goods , wraps, dog treats, and a lot of great café options.” more"
Yelp,Donegal,Flour & Sugar Cakery,4.7,(63 reviews),Seven Fields,$$,"“Stopped in to try thebaked goods. It's a cute space, very clean. I ordered 4 cupcakes- strawberry...”more, Cupcakes, Bakeries, Desserts","“Stopped in to try the baked goods . It's a cute space, very clean. I ordered 4 cupcakes- strawberry...” more"
Yelp,Donegal,Naser Foods,4.6,(7 reviews),Greensburg,,"“They have freshbaked goods(the pepperoni rolls are my favorite and I am very picky about...”more, Supermarkets, Greengrocers, Delis",“They have fresh baked goods (the pepperoni rolls are my favorite and I am very picky about...” more
Yelp,Donegal,Venerable Bean Bakery,4.5,(10 reviews),Morgantown,$,"“LOVED THEBAKED GOODS! I'm a vegan visiting from Miami, FL and I loved every treat I bought!”more, Desserts","“LOVED THE BAKED GOODS ! I'm a vegan visiting from Miami, FL and I loved every treat I bought!” more"
Yelp,Donegal,Caporale's Bakery,4.9,(7 reviews),Cumberland,$,"“This family owned bakery has the most delicious rolls , bread & every kind ofsweet treatsmade...”more, Bakeries","“This family owned bakery has the most delicious rolls , bread & every kind of sweet treats made...” more"
Yelp,Donegal,Enrico's Bakery,5.0,(7 reviews),Jeannette,$$,"“Best ever breads andbaked goods! But you better order ahead for the holidays to make sure you can...”more, Bakeries",“Best ever breads and baked goods ! But you better order ahead for the holidays to make sure you can...” more
Yelp,Donegal,Springs Store,4.5,(10 reviews),Springs,$,"“Great local store forbaked goods, bulk foods, vitamins and supplements.”more, Supermarkets, Bakeries","“Great local store for baked goods , bulk foods, vitamins and supplements.” more"
Yelp,Donegal,Soergel Orchards & Garden Center,4.5,(205 reviews),Wexford,$$,"“We thought it was so nice of them! They also had a wide variety of deliciousbaked goods.”more, Greengrocers, Supermarkets",“We thought it was so nice of them! They also had a wide variety of delicious baked goods .” more
Yelp,Donegal,Cakes At A Glance,5.0,(2 reviews),Blairsville,,"“I bought 24 hand decorated cupcakes for my daughter's wedding shower. I brought in a painted ceramic cup and asked her to decorate the cupcakes to…”more, Cupcakes, Bakeries, Custom Cakes",“I bought 24 hand decorated cupcakes for my daughter's wedding shower. I brought in a painted ceramic cup and asked her to decorate the cupcakes to…” more
Yelp,Donegal,Honey Bee Bakery,5.0,(17 reviews),Monongahela,,"“They had so many other delicious lookingbaked goodsas well. I'll definitely be back!”more, Bakeries, Desserts",“They had so many other delicious looking baked goods as well. I'll definitely be back!” more
Yelp,Donegal,Mazziotti Bakery,4.5,(22 reviews),Lower Burrell,$,"“Great bakery on Leechburg Road in Lower Burrell Always lotssweet treatsto choose from!!”more, Bakeries",“Great bakery on Leechburg Road in Lower Burrell Always lots sweet treats to choose from!!” more
